0;0.64;7;91
1;1.14;2;90
0;0.26;2;89
0;0.28;3;87
1;2.22;5;84
0;0.38;5;83
0;0.68;9;82
0;0.68;2;81
0;0.58;3;79
0;0.74;5;78
0;0.24;3;76
0;0.72;3;75
0;0.48;4;74
1;1.8;3;71
0;0.12;3;69
0;1.8;5;68
0;0.62;5;67
1;1.44;6;66
2;2.58;7;65
0;2.12;9;64
0;0.46;1;62
2;2.18;4;61
0;0.42;3;59
0;0.1;2;58
4;4.44;6;57
1;1.42;5;56
1;2.4;11;55
0;0.46;2;52
0;1.02;8;51
1;2.02;3;50
0;1.54;7;49
1;1.08;2;48
2;2.92;6;47
2;2.34;5;46
1;1.54;7;45
1;1.26;6;44
2;2.38;7;43
0;1.92;8;42
0;1.5;12;41
2;3.3;4;40
3;4;8;39
1;1;1;38
4;5.84;12;37
1;1.56;9;36
2;4.16;13;35
0;0.98;10;34
0;0.8;8;33
2;3.86;14;31
1;1.44;3;30
2;4.46;11;29
1;2.1;4;28
6;8.16;18;26
1;1.1;6;25
3;5.88;16;24
2;4.84;19;23
5;10.6;16;22
7;8.06;17;21
1;2.48;7;20
6;8.24;16;19
11;14.76;25;18
9;11.02;23;17
2;8.56;16;17
6;11.36;25;16
4;10.68;22;16
4;10.16;24;16
18;24.26;29;15
2;12.1;22;15
5;12.14;23;15
5;11.88;24;15
6;13.2;25;15
2;10.92;23;15
3;11.52;23;15
7;13.14;21;15
5;12.06;21;15
5;12.66;22;15
2;11.22;26;15
5;12.72;26;15
5;12.34;31;15
5;12.18;23;15
3;12.02;24;15
3;11.8;25;15
5;13.58;30;15
1;12.5;25;15
5;11.58;27;15
4;11.18;24;15
4;11.3;21;15
5;14.46;29;15
4;13.42;25;15
4;11.78;26;15
8;15.16;25;15
4;11.02;24;15
6;16.16;28;15
4;12.22;26;15
3;10.66;20;15
3;12.08;22;15
5;13.98;25;15
4;11.1;24;15
4;12.82;22;15
5;13.88;25;15
1;10.86;22;15
3;11.1;24;15
1;12.1;22;15
19;20.56;32;14
4;15.4;28;14
9;16.3;30;14
5;15.04;25;14
3;11.78;31;14
1;14.64;22;14
6;15.68;25;14
6;13.16;23;14
8;16.08;25;14
8;15.56;26;14
8;16.88;38;14
8;14.18;26;14
5;14.1;25;14
9;17.26;30;14
7;15.44;26;14
5;15.24;26;14
5;13.42;24;14
5;12.56;25;14
7;15.12;22;14
5;16.5;27;14
6;14.96;23;14
9;15.94;28;14
7;15.74;32;14
6;15.62;29;14
8;15.58;25;14
9;17.08;28;14
10;16.68;30;14
3;14.34;30;14
5;12.28;23;14
6;15.32;26;14
6;13.8;26;14
7;15.02;27;14
12;20.9;36;14
6;13.8;24;14
6;13.8;26;14
8;15.24;24;14
6;15.82;29;14
7;14.46;24;14
3;13.32;23;14
4;14.54;25;14
7;13.56;23;14
3;13.44;27;14
7;15.86;24;14
6;17;31;14
8;17.2;30;14
8;13.18;23;14
3;13.66;30;14
7;15.94;25;14
5;13.12;25;14
6;14.62;29;14
4;14.78;23;14
3;14.72;28;14
7;14.28;27;14
9;19.74;31;14
7;14.32;24;14
3;14.28;27;14
3;13.82;30;14
8;19.16;31;14
3;15.32;29;14
8;16.54;27;14
5;13.54;31;14
6;16.28;26;14
8;16.6;29;14
5;14.82;24;14
5;12.14;26;14
6;13.8;25;14
5;15.58;28;14
8;16.2;33;14
5;17.4;28;14
5;13.76;23;14
8;14.48;25;14
8;14.44;23;14
6;17.1;30;14
6;14.48;25;14
4;13.38;28;14
8;16;27;14
4;12.98;23;14
6;15.02;27;14
3;13.46;23;14
8;16.46;31;14
7;15.44;25;14
6;13.62;24;14
5;15.92;22;14
4;13.92;29;14
4;16.04;28;14
6;15.08;24;14
7;14.56;25;14
8;14.76;24;14
9;15.42;25;14
6;13.96;23;14
7;15.24;27;14
8;15.3;23;14
8;16.08;29;14
7;15.56;33;14
6;16.18;30;14
7;15.46;28;14
4;15.58;27;14
6;12.92;22;14
4;16.72;29;14
7;15.54;25;14
6;13.98;26;14
8;15.8;28;14
4;16.4;30;14
6;14.24;25;14
8;14.8;24;14
7;16.56;31;14
2;12.52;25;14
5;15.82;25;14
5;14.28;27;14
5;15.08;30;14
6;15.38;29;14
10;17.26;27;14
